Date,SPY,IVV,VTI,VOO,QQQ,VEA,IEFA,VTV,AGG,VWO,BND,VUG,IEMG,IJR,IWF,IJH,VIG,GLD,IWM,IWD,EFA,VO,VXUS,XLF,VGT,VB,XLK,BNDX,VNQ,VCIT,ITOT,VYM,VCSH,BSV,VEU,XLE,IVW,TIP,SCHD,XLV,SCHX,LQD,RSP,IXUS,IAU,IWB,EEM,DIA,IWR,SCHF,USMV,VBR,VV,VT,IVE,MUB,MBB,ESGU,DGRO,IGSB,SCHB,QUAL,VGK,SHY,DVY,SCHP,SDY,VTIP,XLY,MDY,ACWI,IUSB,PFF,EFV,EMB,GOVT,HYG,XLI,IEF,VHT,VOE,SCHA,TQQQ,SCHG,VXF,XLP,TLT,IWN,VMBS,IWS,SCZ,SHV,BIL,VTEB,SPYV,MINT,VBK,GDX
2019-12-11,303.1054992675781,304.0909423828125,154.3361053466797,278.3344421386719,202.40353393554688,40.6171875,60.42475128173828,110.97846221923828,108.16431427001953,40.63577651977539,80.19452667236328,173.9112091064453,48.70819091796875,79.44198608398438,168.0328369140625,194.97984313964844,117.5947036743164,138.9199981689453,158.1892852783203,127.70325469970703,64.21200561523438,168.5136260986328,51.15228271484375,28.807750701904297,230.32481384277344,157.41363525390625,85.9304428100586,54.051631927490234,84.49295043945312,85.8958740234375,68.58460998535156,85.65579986572266,77.4419174194336,77.86122131347656,49.51852798461914,51.39359664916992,46.23980712890625,110.13931274414062,53.19371032714844,95.85965728759766,72.22733306884766,121.29053497314453,108.73226928710938,57.04441452026367,28.219999313354492,168.48281860351562,41.28754806518555,267.78167724609375,56.55754470825195,31.117149353027344,62.12123107910156,128.73008728027344,139.29872131347656,75.68533325195312,120.81156158447266,109.40892028808594,104.49202728271484,67.41630554199219,39.14244079589844,51.23526382446289,72.31327819824219,95.673583984375,53.08982467651367,83.48125457763672,95.3220443725586,53.510475158691406,100.32990264892578,46.297607421875,119.51468658447266,358.50518798828125,74.45845794677734,49.8118896484375,33.55429458618164,45.72650146484375,103.91912841796875,25.25220489501953,79.1381607055664,78.15453338623047,109.02639770507812,181.5146026611328,110.97594451904297,71.90045166015625,19.3380069732666,89.0474853515625,119.83990478515625,58.91569900512695,135.2080535888672,121.01254272460938,51.49222183227539,88.73783874511719,58.012115478515625,109.52677154541016,91.09191131591797,51.49413299560547,32.28612518310547,99.79727935791016,192.15184020996094,26.90158462524414
2019-12-12,305.7179260253906,306.783935546875,155.59954833984375,280.7824401855469,203.914306640625,40.93560791015625,60.817298889160156,112.22975158691406,107.7042236328125,41.19139862060547,79.81361389160156,174.76690673828125,49.544620513916016,80.30055236816406,168.9572296142578,197.14468383789062,118.4104995727539,138.42999267578125,159.5516357421875,129.1478729248047,64.64183044433594,169.73976135253906,51.65763854980469,29.369993209838867,232.56790161132812,158.75013732910156,86.84877014160156,53.921382904052734,83.3487777709961,85.62325286865234,69.08592987060547,86.65039825439453,77.32715606689453,77.71641540527344,49.977989196777344,52.34103012084961,46.506431579589844,109.60232543945312,53.72243881225586,96.75096893310547,72.82412719726562,120.73211669921875,109.87559509277344,57.5868034362793,28.100000381469727,169.92340087890625,42.005924224853516,269.9164733886719,57.01255798339844,31.338903427124023,62.274871826171875,130.01919555664062,140.46560668945312,76.38232421875,122.22450256347656,109.22685241699219,104.2115707397461,68.02655792236328,39.568729400634766,51.149269104003906,72.91492462158203,96.3883056640625,53.50065612792969,83.40230560302734,96.27738952636719,53.27537536621094,101.27045440673828,46.21331024169922,120.56297302246094,362.3640441894531,75.11763000488281,49.64035415649414,33.57239532470703,46.14011001586914,103.92829132080078,25.116804122924805,79.31941223144531,78.8474349975586,108.16506958007812,182.9801483154297,112.16964721679688,72.58814239501953,19.78034782409668,89.46867370605469,120.69403839111328,58.868656158447266,132.9827880859375,122.36373138427734,51.385868072509766,89.55035400390625,58.17105484008789,109.53667449951172,91.11182403564453,51.36921691894531,32.67329406738281,99.78746795654297,193.05162048339844,26.853044509887695
2019-12-13,305.9011535644531,306.8897399902344,155.59954833984375,280.88848876953125,204.5857696533203,41.169734954833984,61.228538513183594,111.89106750488281,108.13558959960938,41.14432144165039,80.17549896240234,175.39634704589844,49.56320571899414,79.7892837524414,169.5177764892578,196.01393127441406,118.7271957397461,139.0500030517578,158.93856811523438,128.74871826171875,65.09034729003906,169.44046020507812,51.87287521362305,29.265169143676758,234.07635498046875,158.18844604492188,87.42515563964844,54.051631927490234,83.36723327636719,85.98987579345703,69.15341186523438,86.41801452636719,77.4897232055664,77.86122131347656,50.18428039550781,51.94483184814453,46.62139129638672,110.04511260986328,53.60100555419922,96.68387603759766,72.82412719726562,121.51770782470703,109.56814575195312,57.857994079589844,28.239999771118164,169.94276428222656,41.98701477050781,270.069580078125,56.87702560424805,31.53790855407715,62.42851638793945,129.3030242919922,140.48492431640625,76.5159912109375,122.04431915283203,109.37055969238281,104.5597152709961,68.03621673583984,39.540306091308594,51.24480056762695,72.95361328125,96.30136108398438,54.05152893066406,83.50096893310547,96.1487808227539,53.501075744628906,100.66850280761719,46.325706481933594,120.67074584960938,360.3956298828125,75.35645294189453,49.8118896484375,33.69908142089844,46.49856948852539,104.31333923339844,25.22318458557129,79.40097045898438,78.6357192993164,108.80126190185547,183.06748962402344,111.7812271118164,72.33489227294922,19.957782745361328,89.75540924072266,120.31549072265625,59.0756721496582,134.5211181640625,121.6066665649414,51.49222183227539,89.17753601074219,58.59177017211914,109.56640625,91.09191131591797,51.49413299560547,32.61664962768555,99.80709838867188,193.16038513183594,26.91129493713379
2019-12-16,308.002685546875,309.0957946777344,156.73764038085938,282.87384033203125,206.6396484375,41.581817626953125,61.87274932861328,112.68135070800781,107.91511535644531,41.49275588989258,79.95647430419922,176.8126678466797,49.94446563720703,80.11988067626953,170.91787719726562,197.26626586914062,119.2166519165039,139.0399932861328,160.058837890625,129.6046600341797,65.78581237792969,170.66664123535156,52.36886215209961,29.369993209838867,236.1792449951172,159.1569061279297,88.20669555664062,54.02371597290039,83.96700286865234,85.811279296875,69.644287109375,86.97573852539062,77.40365600585938,77.77435302734375,50.70000457763672,52.642478942871094,46.919715881347656,109.79074096679688,53.78783416748047,97.72854614257812,73.38512420654297,121.24323272705078,110.25991821289062,58.41573715209961,28.239999771118164,171.21153259277344,42.34325408935547,270.9886779785156,57.28935623168945,31.831682205200195,62.72218322753906,130.14332580566406,141.51683044433594,77.16523742675781,122.99714660644531,109.2364273071289,104.40497589111328,68.52362823486328,39.79276657104492,51.19704055786133,73.45661926269531,96.9416275024414,54.751800537109375,83.45164489746094,96.91869354248047,53.36941909790039,101.26107025146484,46.297607421875,121.19978332519531,362.5882263183594,75.91048431396484,49.73564147949219,33.81672668457031,47.00419235229492,104.37750244140625,25.145814895629883,79.5550537109375,78.59721374511719,108.29232025146484,185.08131408691406,112.27386474609375,72.8219223022461,20.53007698059082,90.54638671875,121.36373901367188,59.28268814086914,133.31170654296875,122.491943359375,51.39552688598633,89.75740814208984,59.1231803894043,109.55648803710938,91.11182403564453,51.49413299560547,32.88105010986328,99.81690979003906,194.36666870117188,26.59092140197754
2019-12-17,308.0701599121094,309.12481689453125,156.79551696777344,282.93170166015625,206.7581024169922,41.43197250366211,61.541168212890625,112.78484344482422,107.92469787597656,41.803531646728516,79.96598052978516,176.59628295898438,50.391334533691406,80.8082275390625,170.7896728515625,197.9361114501953,119.1398696899414,139.00999450683594,160.85971069335938,129.71971130371094,65.4078369140625,170.43490600585938,52.30336380004883,29.484352111816406,235.72743225097656,159.6798553466797,88.00154113769531,54.042327880859375,83.1734619140625,85.82066345214844,69.63458251953125,87.10586547851562,77.43235778808594,77.79365539550781,50.66249465942383,52.67692947387695,46.885257720947266,109.94148254394531,53.79716873168945,97.62312316894531,73.3947982788086,121.14859008789062,110.27912139892578,58.33022689819336,28.200000762939453,171.2503662109375,42.72942352294922,271.3045654296875,57.28935623168945,31.736915588378906,62.68354415893555,130.79270935058594,141.5072021484375,77.1365966796875,123.12112426757812,109.31307220458984,104.4726791381836,68.48957824707031,39.83087158203125,51.216148376464844,73.52433013916016,96.86402130126953,54.359657287597656,83.47135925292969,97.15957641601562,53.46345138549805,101.2892837524414,46.34444046020508,121.7386245727539,363.84527587890625,75.90081787109375,49.69753646850586,33.916263580322266,46.80756378173828,104.76255798339844,25.136150360107422,79.79975128173828,78.5202407836914,108.30210876464844,184.85723876953125,112.406494140625,73.1530990600586,20.557565689086914,90.48706817626953,121.59668731689453,59.1885871887207,133.12796020507812,123.37915802001953,51.47288513183594,89.85357666015625,58.703392028808594,109.57632446289062,91.10186767578125,51.52294921875,32.90937042236328,99.80709838867188,194.72259521484375,26.367631912231445
2019-12-18,308.0894470214844,309.1441650390625,156.863037109375,282.9509582519531,206.91610717773438,41.32895278930664,61.43695831298828,112.70016479492188,107.71379852294922,42.029544830322266,79.8612289428711,176.78317260742188,50.65754699707031,81.08938598632812,170.96714782714844,198.0429229736328,118.7627944946289,139.02000427246094,161.1722412109375,129.65261840820312,65.32279205322266,170.70521545410156,52.34078598022461,29.360464096069336,235.80601501464844,160.07691955566406,87.99176788330078,53.99580383300781,84.18721771240234,85.76426696777344,69.67338562011719,87.05937194824219,77.42278289794922,77.8033218383789,50.65311813354492,52.87502670288086,46.92218780517578,109.81901550292969,53.69441604614258,97.75729370117188,73.3947982788086,121.06340789794922,110.44246673583984,58.38723373413086,28.200000762939453,171.23092651367188,42.961124420166016,271.12261962890625,57.35743713378906,31.689529418945312,62.65455627441406,131.15554809570312,141.55540466308594,77.16523742675781,123.04483032226562,109.27476501464844,104.35661315917969,68.58687591552734,39.754661560058594,51.216148376464844,73.54368591308594,96.96102905273438,54.25694274902344,83.48125457763672,97.40972137451172,53.39763259887695,101.25165557861328,46.34444046020508,121.85618591308594,364.0108947753906,75.94917297363281,49.69753646850586,33.95246124267578,46.72329330444336,104.96426391601562,25.087783813476562,79.94475555419922,78.1930160522461,108.0084457397461,185.14950561523438,112.53913116455078,73.3674087524414,20.60504722595215,90.51673889160156,121.79081726074219,59.094482421875,132.03466796875,123.90956115722656,51.453548431396484,90.08434295654297,58.45533752441406,109.57632446289062,91.12176513671875,51.52294921875,32.89993667602539,99.81690979003906,194.75228881835938,26.649171829223633
2019-12-19,309.35223388671875,310.4703063964844,157.54782104492188,284.1268310546875,208.2096405029297,41.36640548706055,61.43695831298828,112.93537139892578,107.83000183105469,42.05780029296875,79.91838073730469,177.9535675048828,50.66706466674805,81.34146118164062,172.01229858398438,198.93605041503906,119.33177947998047,139.3800048828125,161.8656768798828,129.9305877685547,65.32279205322266,171.4486541748047,52.312713623046875,29.350933074951172,237.35787963867188,160.69676208496094,88.62676239013672,53.884178161621094,84.93330383300781,85.8864517211914,69.96443176269531,87.2359848022461,77.4610595703125,77.85157775878906,50.671871185302734,52.8577995300293,47.202781677246094,109.99723052978516,53.77849197387695,98.14066314697266,73.69463348388672,121.18297576904297,110.81716918945312,58.3492317199707,28.260000228881836,171.98867797851562,42.98043441772461,272.3193664550781,57.5616569519043,31.689529418945312,62.90571975708008,131.45156860351562,142.20152282714844,77.3657455444336,123.34049224853516,109.31028747558594,104.41080474853516,68.80284881591797,39.840396881103516,51.239131927490234,73.85320281982422,97.35877227783203,54.32229995727539,83.4980239868164,97.40972137451172,53.50056838989258,101.3645248413086,46.38190460205078,122.23826599121094,365.6090393066406,76.12319946289062,49.68606185913086,33.984275817871094,46.751380920410156,104.60624694824219,25.097471237182617,79.90291595458984,78.40474700927734,108.09275817871094,185.80226135253906,112.90860748291016,73.61092376708984,21.0248966217041,91.11984252929688,122.38286590576172,59.41442108154297,132.2459259033203,124.1988296508789,51.48257064819336,90.38245391845703,58.579368591308594,109.57632446289062,91.1317367553711,51.52294921875,32.97547912597656,99.81690979003906,195.87942504882812,26.67829704284668
2019-12-20,310.70855712890625,312.05780029296875,158.3579864501953,285.5724792480469,209.04896545410156,41.43197250366211,61.50327682495117,113.60334014892578,107.84920501708984,42.0954704284668,79.93743133544922,178.82894897460938,50.714595794677734,81.21541595458984,172.7517547607422,199.92623901367188,120.04541015625,139.52000427246094,162.10009765625,130.6686553955078,65.37004089355469,172.55892944335938,52.331424713134766,29.385417938232422,238.683837890625,161.36495971679688,89.1413345336914,53.93067932128906,85.39961242675781,85.83946228027344,70.28456115722656,87.81230926513672,77.48015594482422,77.79365539550781,50.70000457763672,53.364845275878906,47.458770751953125,109.94064331054688,54.23622131347656,98.83548736572266,74.08153533935547,121.14501953125,111.384033203125,58.491756439208984,28.239999771118164,172.89215087890625,43.06732177734375,273.1509094238281,57.89229965209961,31.72743797302246,63.311431884765625,131.91944885253906,142.8477020263672,77.59488677978516,123.92227935791016,109.22389221191406,104.49789428710938,69.26398468017578,40.05950927734375,51.2582893371582,74.20144653320312,97.9117202758789,54.37833023071289,83.4980239868164,97.98413848876953,53.45335006713867,101.94440460205078,46.37253189086914,122.42504119873047,367.388427734375,76.2585678100586,49.72428512573242,34.020606994628906,46.67647171020508,104.86394500732422,25.107158660888672,79.78466796875,78.76549530029297,108.09275817871094,187.03958129882812,113.49598693847656,73.83496856689453,21.274805068969727,91.54498291015625,122.81964111328125,59.86316680908203,132.42031860351562,124.08311462402344,51.453548431396484,90.8921127319336,58.64615249633789,109.59617614746094,91.13672637939453,51.49413299560547,33.11712646484375,99.83655548095703,197.0164794921875,26.33850860595703
2019-12-23,311.1832580566406,312.2804260253906,158.4544219970703,285.8523864746094,209.60113525390625,41.48872375488281,61.6453857421875,113.62214660644531,107.77237701416016,42.17081069946289,79.88683319091797,179.04531860351562,50.8001708984375,81.35113525390625,173.1264190673828,199.7223663330078,120.00684356689453,139.9499969482422,162.42239379882812,130.6207275390625,65.47398376464844,172.40447998046875,52.41471862792969,29.318368911743164,239.48924255371094,161.481201171875,89.39617156982422,53.95164108276367,84.97061920166016,85.78759765625,70.38158416748047,87.78323364257812,77.43510437011719,77.78397369384766,50.786258697509766,53.91275405883789,47.49323272705078,109.7520523071289,54.18951416015625,99.23005676269531,74.1589126586914,121.20193481445312,111.44094848632812,58.56776428222656,28.399999618530273,173.05728149414062,43.125244140625,273.9862976074219,57.90202713012695,31.774822235107422,63.04096221923828,131.79531860351562,143.0309600830078,77.70166778564453,123.99858856201172,109.2334976196289,104.35275268554688,69.2756576538086,40.05950927734375,51.22956085205078,74.24980926513672,97.92141723632812,54.57645797729492,83.478271484375,97.80810546875,53.34001922607422,101.80227661132812,46.33574676513672,122.1399917602539,367.0754089355469,76.43260955810547,49.6765251159668,34.07513427734375,46.67647171020508,104.98358154296875,25.087785720825195,79.82107543945312,79.41349029541016,107.9947509765625,187.9553985595703,113.42019653320312,73.9421157836914,21.432249069213867,91.65372467041016,123.07199096679688,59.60701370239258,132.22647094726562,124.1217041015625,51.40025329589844,90.79594421386719,58.80834197998047,109.57632446289062,91.13672637939453,51.52204513549805,33.14752960205078,99.83655548095703,197.3625030517578,27.150985717773438
2019-12-24,311.19293212890625,312.3191833496094,158.4893341064453,285.8523864746094,209.7100067138672,41.450889587402344,61.588539123535156,113.57381439208984,107.90679931640625,42.132659912109375,79.96319580078125,179.1321258544922,50.714595794677734,81.57412719726562,173.10671997070312,199.70297241210938,120.064697265625,141.27000427246094,162.7935333251953,130.67823791503906,65.4078369140625,172.63844299316406,52.42417907714844,29.385417938232422,239.50889587402344,161.61068725585938,89.42556762695312,53.980220794677734,85.19444274902344,85.97615814208984,70.4009780883789,87.75511932373047,77.51179504394531,77.84201049804688,50.74833679199219,53.886653900146484,47.50799560546875,109.88407897949219,54.15214920043945,99.10494995117188,74.14925384521484,121.32530212402344,111.51812744140625,58.548763275146484,28.65999984741211,173.0087127685547,43.02870559692383,273.6789855957031,57.97010040283203,31.717966079711914,63.098915100097656,131.75299072265625,143.0774688720703,77.67282104492188,123.91275787353516,109.36788940429688,104.43018341064453,69.278564453125,40.049983978271484,51.2582893371582,74.28849792480469,97.892333984375,54.54828643798828,83.48814392089844,97.6969223022461,53.45335006713867,101.72647094726562,46.38290786743164,122.41520690917969,367.0950012207031,76.45194244384766,49.71472930908203,34.09330749511719,46.61092758178711,105.16764068603516,25.116846084594727,79.88473510742188,79.09432983398438,108.18096923828125,188.10154724121094,113.45262145996094,74.00054931640625,21.459999084472656,91.68341064453125,123.26908874511719,59.682918548583984,132.6044464111328,124.27598571777344,51.40025329589844,90.8536605834961,58.856040954589844,109.60608673095703,91.14669036865234,51.54130172729492,33.12852478027344,99.85619354248047,197.5597381591797,28.021146774291992
2019-12-26,312.8495178222656,313.9356689453125,159.25540161132812,287.31475830078125,211.5605010986328,41.64007568359375,61.8348503112793,113.84872436523438,108.00282287597656,42.485511779785156,80.03953552246094,180.63128662109375,51.113922119140625,81.46749114990234,174.35888671875,200.13983154296875,120.39259338378906,142.3800048828125,162.7935333251953,131.004150390625,65.6913070678711,173.11415100097656,52.65134048461914,29.548242568969727,241.3554229736328,161.89306640625,90.09204864501953,54.0183219909668,85.56748962402344,85.99501037597656,70.77931213378906,87.96131896972656,77.53096771240234,77.84201049804688,51.0042610168457,53.8692626953125,47.872291564941406,109.95952606201172,54.254905700683594,99.03759765625,74.55548858642578,121.54358673095703,111.7593002319336,58.80530548095703,28.899999618530273,173.86361694335938,43.3376350402832,274.6872253417969,58.04790496826172,31.860105514526367,63.282470703125,132.01272583007812,143.77545166015625,78.02876281738281,124.23703002929688,109.40628051757812,104.43018341064453,69.68620300292969,40.18336486816406,51.28702163696289,74.62704467773438,98.25125885009766,54.82060623168945,83.51776885986328,97.86369323730469,53.46279525756836,101.93492126464844,46.40177917480469,123.90926361083984,367.9069519042969,76.86770629882812,49.752933502197266,34.13874816894531,46.78883361816406,105.3149185180664,25.145902633666992,80.0029525756836,79.27809143066406,108.3377914428711,187.63388061523438,113.79610443115234,74.09796142578125,22.017499923706055,92.37550354003906,123.42520141601562,59.739837646484375,132.9242401123047,124.4013671875,51.44871139526367,91.0652084350586,59.21858596801758,109.59617614746094,91.15666198730469,51.5509147644043,33.19503402709961,99.86601257324219,198.0056915283203,28.43178367614746
2019-12-27,312.7719421386719,313.87762451171875,159.10995483398438,287.31475830078125,211.3823699951172,41.75358581542969,61.98643112182617,113.84872436523438,108.14685821533203,42.5427360534668,80.15409088134766,180.57211303710938,51.332611083984375,81.0990982055664,174.33917236328125,199.80978393554688,120.61439514160156,142.3300018310547,161.99266052246094,130.9849853515625,65.8047103881836,172.8423309326172,52.90687942504883,29.471620559692383,241.26702880859375,161.39646911621094,90.08223724365234,54.0183219909668,85.83795166015625,86.16470336914062,70.72111511230469,87.98007202148438,77.63643646240234,77.93875122070312,51.12748718261719,53.64314270019531,47.872291564941406,109.99723052978516,54.320289611816406,99.06645965576172,74.52648162841797,121.71435546875,111.60494995117188,59.00483703613281,28.8799991607666,173.82476806640625,43.51141357421875,274.94647216796875,58.01873016357422,31.954879760742188,63.437015533447266,131.63754272460938,143.72698974609375,78.12496185302734,124.18934631347656,109.41587829589844,104.6430435180664,69.666748046875,40.202415466308594,51.382808685302734,74.61736297607422,98.27066040039062,55.07414627075195,83.5770492553711,97.78958129882812,53.472225189208984,101.99178314208984,46.4206428527832,123.89944458007812,367.19281005859375,76.91606903076172,49.82933044433594,34.0842170715332,46.91055679321289,105.60023498535156,25.174972534179688,79.96656799316406,79.21038818359375,108.49462890625,187.6436309814453,113.51942443847656,73.73754119873047,21.952499389648438,92.29640197753906,123.09346771240234,60.005470275878906,133.06959533691406,123.83240509033203,51.52622604370117,90.96904754638672,59.51434326171875,109.61602783203125,91.14669036865234,51.589439392089844,33.20453643798828,99.89546203613281,197.2030029296875,28.22646713256836
2019-12-30,311.0475158691406,312.1836242675781,158.2469024658203,285.7362060546875,209.99697875976562,41.450889587402344,61.53169250488281,113.32734680175781,108.14685821533203,42.3043212890625,80.12543487548828,179.3096466064453,50.9713134765625,81.05059814453125,173.156005859375,199.6156005859375,120.11292266845703,142.6300048828125,161.58245849609375,130.45777893066406,65.31334686279297,172.22097778320312,52.49989700317383,29.385417938232422,239.83302307128906,160.90966796875,89.56278228759766,53.913536071777344,85.92188262939453,86.25898742675781,70.30397033691406,87.56767272949219,77.69397735595703,77.99678802490234,50.786258697509766,53.47385025024414,47.5621452331543,110.03494262695312,53.98400115966797,98.47171020507812,74.11055755615234,121.93266296386719,111.21907806396484,58.65327835083008,28.979999542236328,172.93099975585938,43.2217903137207,273.2180480957031,57.76587677001953,31.72743797302246,63.23414993286133,131.54136657714844,142.9320831298828,77.6632080078125,123.70291900634766,109.4350814819336,104.60433197021484,69.2249984741211,39.99282455444336,51.401947021484375,74.18209075927734,97.7953109741211,54.64219284057617,83.60667419433594,97.50237274169922,53.510005950927734,101.70751953125,46.439510345458984,123.103271484375,366.8504333496094,76.45194244384766,49.838897705078125,34.020606994628906,46.6015625,105.42535400390625,25.15559196472168,79.9120101928711,78.84285736083984,108.4260025024414,186.27967834472656,113.24272918701172,73.55248260498047,21.514999389648438,91.67350769042969,122.61536407470703,59.69239807128906,132.5850830078125,123.84203338623047,51.53593063354492,90.76709747314453,59.09455871582031,109.62594604492188,91.15666198730469,51.57980728149414,33.0620231628418,99.9151382446289,196.34083557128906,28.832643508911133
2019-12-31,311.8031921386719,312.8902282714844,158.66387939453125,286.4722595214844,210.39279174804688,41.677913665771484,61.806427001953125,113.61172485351562,107.8971939086914,42.40922927856445,80.03953552246094,179.67457580566406,51.113922119140625,81.29297637939453,173.45179748535156,199.80978393554688,120.21900177001953,142.89999389648438,161.8070831298828,130.822021484375,65.61572265625,172.98794555664062,52.70811080932617,29.481197357177734,240.4910888671875,161.27964782714844,89.8470230102539,53.89449691772461,86.53741455078125,86.0987319946289,70.51740264892578,87.83010864257812,77.68436431884766,77.97745513916016,50.947391510009766,53.77839660644531,47.663063049316406,109.92179870605469,54.10544204711914,98.66544342041016,74.29434204101562,121.42970275878906,111.6338882446289,58.81481170654297,29.0,173.3292999267578,43.318328857421875,273.76544189453125,57.97983169555664,31.869586944580078,63.36939239501953,131.8588104248047,143.31983947753906,77.91331481933594,124.07488250732422,109.34870147705078,104.55593872070312,69.39527130126953,40.07856369018555,51.363643646240234,74.36588287353516,97.9796371459961,55.02719497680664,83.5968017578125,97.89148712158203,53.48168182373047,101.92544555664062,46.48667526245117,123.28019714355469,367.21240234375,76.62599182128906,49.77203369140625,34.15691375732422,46.751380920410156,105.43456268310547,25.12653160095215,79.98478698730469,78.79450988769531,108.03392028808594,186.80577087402344,113.71977996826172,73.6791000366211,21.637500762939453,91.86137390136719,122.9275894165039,59.74932098388672,131.2865447998047,123.99634552001953,51.52622604370117,91.13250732421875,59.41893768310547,109.64580535888672,91.15666198730469,51.54130172729492,33.16652297973633,99.93482971191406,196.9056854248047,28.6273250579834
2020-01-02,314.71917724609375,315.8716735839844,159.982666015625,289.0096130371094,213.90579223632812,42.01844787597656,62.46012496948242,114.1710205078125,108.19487762451172,43.42009735107422,80.14453887939453,182.2586669921875,52.16929244995117,81.35113525390625,175.8477020263672,200.11070251464844,120.87476348876953,143.9499969482422,161.91453552246094,131.34921264648438,66.27716827392578,173.60931396484375,53.294925689697266,29.768535614013672,244.9011688232422,161.56201171875,91.53280639648438,54.03736877441406,85.52085876464844,86.21183776855469,71.05095672607422,88.07379150390625,77.68436431884766,78.03547668457031,51.60141372680664,54.2620735168457,48.312889099121094,110.45927429199219,54.24555969238281,98.92697143554688,74.9714126586914,121.68592834472656,111.95223999023438,59.479915618896484,29.219999313354492,174.8253631591797,44.196861267089844,277.14556884765625,58.16460418701172,32.12545394897461,63.388729095458984,131.67604064941406,144.64793395996094,78.70216369628906,124.5517578125,109.44468688964844,104.68173217773438,70.0267562866211,40.354835510253906,51.382808685302734,75.0042953491211,98.83332061767578,55.4873161315918,83.6363296508789,97.59500885009766,53.72722625732422,101.66014862060547,46.514984130859375,124.7447738647461,367.7503967285156,77.41883850097656,49.88665771484375,34.3568229675293,47.23828125,105.56340026855469,25.174972534179688,80.32129669189453,80.28394317626953,108.53380584716797,187.1272735595703,113.68161010742188,73.77650451660156,22.709999084472656,93.08737182617188,123.27883911132812,59.27497100830078,132.76919555664062,123.86132049560547,51.574676513671875,90.94019317626953,59.953216552734375,109.6656723022461,91.18656921386719,51.59906768798828,33.28053283691406,99.94462585449219,197.9263916015625,28.69576644897461
2020-01-03,312.3360900878906,313.4420166015625,158.96449279785156,286.89825439453125,211.94644165039062,41.50764846801758,61.68327331542969,113.26099395751953,108.5117416381836,42.64764404296875,80.43089294433594,181.00608825683594,51.247039794921875,81.30267333984375,174.57582092285156,199.10107421875,120.35401153564453,145.86000061035156,161.2797088623047,130.4673614501953,65.455078125,172.83262634277344,52.64186477661133,29.45246696472168,242.3278045654297,160.97781372070312,90.5036849975586,54.18977737426758,86.05245208740234,86.45694732666016,70.6144027709961,87.3802261352539,77.78981018066406,78.10320281982422,50.947391510009766,54.10084915161133,47.95843505859375,110.96846008300781,53.85322189331055,98.06488037109375,74.45877075195312,122.10345458984375,111.3155517578125,58.767295837402344,29.6200008392334,173.71791076660156,43.376258850097656,274.9368896484375,57.950653076171875,31.784303665161133,63.427364349365234,131.20468139648438,143.5912628173828,77.99028015136719,123.6647720336914,109.83824920654297,104.76881408691406,69.62296295166016,39.99282455444336,51.459415435791016,74.50130462646484,98.19306182861328,54.79243469238281,83.70543670654297,96.97427368164062,53.972774505615234,101.19586181640625,46.58101272583008,123.6832046508789,365.8330383300781,76.75167846679688,49.98217010498047,34.42951965332031,46.67647171020508,105.29650115966797,25.300884246826172,80.23946380615234,80.12919616699219,109.2591552734375,185.49050903320312,112.88017272949219,73.45508575439453,22.092500686645508,92.57323455810547,122.99588775634766,59.18009948730469,134.8138427734375,123.51417541503906,51.652217864990234,90.61325073242188,59.19950485229492,109.6656723022461,91.18656921386719,51.78196716308594,33.052520751953125,99.97417449951172,197.2822723388672,28.519777297973633
2020-01-06,313.52764892578125,314.6810607910156,159.5075225830078,287.9733581542969,213.31204223632812,41.6495246887207,61.90117263793945,113.4031753540039,108.42530822753906,42.57134246826172,80.33544158935547,182.169921875,51.056884765625,81.22509765625,175.68994140625,199.04281616210938,120.43115234375,147.38999938964844,161.4945526123047,130.58236694335938,65.71021270751953,173.07534790039062,52.71758270263672,29.433307647705078,243.13320922851562,161.19204711914062,90.71931457519531,54.151676177978516,86.15503692626953,86.40037536621094,70.88603210449219,87.42707824707031,77.84733581542969,78.0741958618164,51.042171478271484,54.5218391418457,48.21443176269531,110.68559265136719,53.84387969970703,98.67514038085938,74.7392807006836,121.6954116821289,111.46025848388672,58.88132095336914,29.920000076293945,174.32022094726562,43.270057678222656,275.5707092285156,58.038177490234375,31.88854217529297,63.514305114746094,131.07958984375,144.18260192871094,78.27888488769531,123.86506652832031,109.94386291503906,104.77849578857422,69.83799743652344,40.01187515258789,51.449832916259766,74.79148864746094,98.4258804321289,54.9990234375,83.67581939697266,96.96502685546875,53.840545654296875,101.12952423095703,46.57157516479492,124.0272216796875,365.8232421875,76.92572021484375,49.93440246582031,34.40225601196289,46.86374282836914,105.0848388671875,25.271825790405273,80.15760040283203,80.158203125,109.14151763916016,186.7180938720703,112.80384063720703,73.52326202392578,22.512500762939453,93.15657806396484,123.35690307617188,59.303428649902344,134.04832458496094,123.53345489501953,51.69096374511719,90.64208221435547,59.237667083740234,109.65573120117188,91.17659759521484,51.80121994018555,33.10002517700195,99.99384307861328,198.30296325683594,28.568662643432617
